category,name,ecoScore,price,description,imageUrl
Bar Soap,Mysore Sandal Soap (HUL),45.13,42,"Made with pure sandalwood oil, Mysore Sandal Soap offers a luxurious bathing experience with a rich, natural fragrance. It nourishes the skin, leaving it soft and refreshed. Known for its heritage and Ayurvedic formulation, it’s a trusted choice for gentle, everyday cleansing.",https://drive.google.com/file/d/1II6jh1kpZagYJdc0ef8F9osxayMvYRKC/view?usp=drive_link
Bar Soap,Medimix 18 Herbs Soap,67.01,52,"Infused with 18 Ayurvedic herbs, Medimix is designed to prevent skin issues like acne, body odor, and infections. It provides a natural, herbal cleanse while keeping the skin healthy and supple. Suitable for all skin types, it's especially popular for its medicinal benefits.",https://drive.google.com/file/d/1dsLVhRo0gf3XbtQhshvz1GQtK7bXX1W8/view?usp=drive_link
Bar Soap,Cinthol Original Soap,62.86,50,"Cinthol Original Soap, enriched with germ protection, offers a strong, refreshing aroma and deep cleansing. It helps protect against dust, pollution, and skin problems, making it ideal for active lifestyles. Its iconic legacy and freshness make it a go-to bath bar for many.",https://drive.google.com/file/d/1uFFP6WrA9Bnrd4nbWkX7gubAtGLKtF1B/view?usp=drive_link
Bar Soap,Patanjali Neem Kanti Soap,70.16,42,"Made with neem, haldi, and other Ayurvedic ingredients, Patanjali Neem Kanti is an antibacterial soap aimed at treating pimples and skin irritation. It cleanses thoroughly while maintaining skin health, especially for oily or acne-prone skin. It’s a budget-friendly, herbal alternative.",https://drive.google.com/file/d/1ZmJHe0zT8Ko8vyK4K-pkMMl-VIcde9HC/view?usp=drive_link
Bar Soap,Dove Beauty Bar,72.67,85,"Dove Beauty Bar is more than just a soap—it’s a moisturizing cleanser with ¼ moisturizing cream. It gently nourishes dry skin without stripping natural oils. Known for its soft, creamy lather, Dove leaves skin smooth, soft, and radiant after every wash.",https://drive.google.com/file/d/1HIS3e_DdPwcRpPE-s2cqt9OYU6rC4h4_/view?usp=drive_link
Bar Soap,Lux Soft Touch Soap,53.03,80,"Lux Soft Touch is infused with floral extracts and silk protein, offering a fragrant, creamy lather that leaves skin feeling soft and pampered. Designed for daily use, it enhances the bathing experience with its long-lasting fragrance and gentle moisturizing properties.",https://drive.google.com/file/d/1chnrxlD0tVSQAiKBJgi-BDmPiwzXFGxe/view?usp=drive_link
Bar Soap,Dettol Original Soap,63.83,100,"Dettol Original Soap provides trusted germ protection with every wash. Formulated with antibacterial agents, it helps prevent infection, body odor, and skin issues. Ideal for hygiene-conscious users, it’s a reliable choice for keeping skin clean and protected throughout the day.",https://drive.google.com/file/d/1qfjruqQyFDY_qmgdqfmn_Q--uPZCSvkk/view?usp=drive_link
Bar Soap,Biotique Bio Almond Oil Soap,100,120,"Biotique’s Bio Almond Oil Soap is an Ayurvedic, 100% natural bar enriched with almond oil, coconut oil, and wild turmeric. It deeply nourishes and softens skin, making it suitable for dry and sensitive skin types. It’s chemical-free and eco-friendly.",https://drive.google.com/file/d/1PIEv0xMHtHbzBFHZPLswgHGnTRDOqAXU/view?usp=drive_link
Bar Soap,Pears Transparent Soap,85.51,120,"Pears Soap is a gentle, glycerin-based cleanser known for its transparency and purity. It hydrates and refreshes skin while being dermatologically tested for sensitive skin. Its mild formula and light fragrance make it a popular choice for daily, gentle cleansing.",https://drive.google.com/file/d/1lUKuKPZgyugHKGm14d8eaS4zLZXmiU8a/view?usp=drive_link
Bar Soap,Himalaya Neem & Turmeric Soap,56.5,80,"Himalaya Neem & Turmeric Soap combines neem’s antibacterial properties with turmeric’s healing benefits. It effectively combats acne and skin impurities while soothing and refreshing the skin. Ideal for oily or acne-prone skin, it offers a clean, herbal bath experience.",https://drive.google.com/file/d/1Nr7pO2wnGRXOEUuxFxRczcUXnIBnSsv7/view?usp=drive_link
